cid,text,author,votes,heart,paid
UgwNHqUAaY-bhqvP0eR4AaABAg.9c8JJ1xEAsw9c8OaTfixg3,"ഇന്ത്യ എന്തായാലും ഈ മാർജിനു ജയ്ക്കില്ല",Krishna. kc,1,False,None
Ugw3HkM69RZSFuZzZOV4AaABAg,"വിക്കറ്റിന് പിന്നിൽ അനങ്ങാപ്പാറ പോലെ തിരുമണ്ടൻ പന്ത് നിൽക്കുന്നത് കണ്ടപ്പോഴേ തീരുമാനിച്ചു കാര്യം പോക്കാണെന്ന്.  എന്തൊരു സന്തോഷം.  സഞ്ജുവിനെ ടീമിൽ പോലും ഉൾപ്പെടുത്താതെ മണ്ടൻ പന്തിനെ captain ആക്കിയ സെലക്ടർമാർക്ക് നമസ്കാരം..    ആദ്യ comment.. ",Ansari Ansari,30,False,None
UgzoWwbscNiuylgQNx54AaABAg,"5 കളിയിൽ 3 ജയിച്ചാൽ അല്ലെ പരമ്പര കിട്ടു",SK Tech,11,False,None
UgwXy5HV4cuFDzHQeEF4AaABAg,"ഇന്ത്യയുടെ ബാറ്റിംഗ് കഴിഞ്ഞപ്പോഴേ തോൽവി ഉറപ്പായിരുന്നു   mis hit വരെ six ആകുന്ന ചെറിയ ഗ്രൗണ്ടിൽ  25 റൺ short ആയിരുന്നു ഇന്ത്യ നേടിയത്",Be real Or just leave,3,True,None
UgyDHAP9EgDvUVLSWmp4AaABAg,"മിഡിൽ ഓവറുകളിൽ ബാറ്റിറേ നന്നായി പിടിച്ചുകെട്ടുന്ന ചഹൽ ഹർഥിക്ക് എന്നിവരെ  പവർപ്ലെ യിൽ തന്നെ കൊണ്ട് വന്ന് അവരുടെ ആത്മ വിശ്വസം തകർത്തു.  വണ്ടർഡ് ടുസ്സൈൻ അദ്യം നന്നായി സ്ട്രഗ്ൾ ചെയ്തിരുന്നു. ആ സമയത്ത്  ഒരു വിക്കറ്റ് ടെയ്ക്കറെ കൊണ്ട് വന്ന് അയാളെ വീഴ്ത്തിയിരുന്നെങ്കിൽ മില്ലാർക്ക് മേൽ നല്ല പ്രശറും  കൊണ്ട് വരികയും കളി ജയിക്കുകയും ചെയ്യാമായിരുന്നു.പക്ഷെ പന്ത് ചെയ്തത്  ചാഹലിന് പകരം അക്ക്സറിനെ കൊണ്ട് വന്ന്  റൺനിരക്ക് താഴ്ത്താൻ ആണ്.",Be happy,1,True,None
UgzV61WC7LUU9oeywdB4AaABAg,"പന്തെന്ന ക്യാപ്റ്റൻ്റെ പരാജയം",Abdul Kalam,6,True,None
UgyKswyHquZoXZPHlmx4AaABAg,"ഇവിടെ കമന്റ്‌ ഇട്ടവർ അയ്യർ ഒരു ക്യാച്ച് കളഞ്ഞു അതു കണ്ടില്ലേ അ വിക്കെറ്റ് പോയാലും ജയിച്ചേനെ",Rahul Rajappan,3,False,None
Ugw3feY1xzGZ6VTVyE54AaABAg,"ഇന്ത്യ തോറ്റതിൽ ആദ്യം ആയി സന്തോഷം തോന്നിയത് ഇന്നാണ് ",Sangeeth K P,25,False,None
Ugw3HkM69RZSFuZzZOV4AaABAg.9c3Ui4eWf-89c3XZCMvGf3,"പഠിക്കണം എല്ലാരും.....",Sangeeth K P,1,False,None
Ugw3HkM69RZSFuZzZOV4AaABAg.9c3Ui4eWf-89c4LmfjtZJf," @sreejith s  ഒന്നുപോടാപ്പാ ഇത്രയും കാലവും ഇനിയും ഇന്ത്യ യെ സപ്പോർട് തന്നെ ചെയ്യും പക്ഷെ.... ഇന്നലെ ഇന്ത്യ തോറ്റത് 80%മലയാളികളും സന്തോഷിച്ചു കാരണം താങ്കള്കും അറിയാം...",Sangeeth K P,2,False,None
