cid,text,author,votes,heart,paid
UgxRIMERqtkR-dERMbB4AaABAg.9VZvtiAuF3T9V_lmaP0JHQ,"വെളച്ചിലാടുക്കരുത്  കേട്ടോ...  പ്ര്ര്ര്ർ ബാ പ്ര്ര്ർ",Sooraj S,4,False,None
Ugx_gvObilODBUz6z5x4AaABAg,"100 MILLION  ആകാൻ സഹായിച്ച എല്ലാ ചങ്ക്‌ മച്ചന്മാർക്കും ഒരുപാട് നന്ദി ഇനിയും ഇതുപോലുള്ള ഈ സഹകരണം പ്രതീഷിക്കുന്നു ",CARLOS GAMING,10,True,None
UgxCG7I8_adAzWiFfxt4AaABAg,"ആരോമൽ a",Nadeerakv,2,True,None
UgyJnRO4rKYC8GaPG_B4AaABAg,"100 MILLION  ആകാൻ സഹായിച്ച എല്ലാ ചങ്ക്‌ മച്ചന്മാർക്കും ഒരുപാട് നന്ദി ഇനിയും ഇതുപോലുള്ള ഈ സഹകരണം പ്രതീഷിക്കുന്നു",CARLOS GAMING,11,True,None
Ugy29PvoO4k9Sgtdgwh4AaABAg,"എന്ത് ചെയ്യാനാ അയ്യോ അയ്യോ...!! ",ᴍɪɴɴᴀʟ ʜᴀᴀʟᴀɴᴅ,2,True,None
UgxA-uOozlfOPVmOnu94AaABAg,"അങ്ങനെ പ്രേഷകരെ ചെക്കൻ പഠിക്കാൻ തുടങ്ങിയിരിക്കുന്നു... ഇനി വീഡിയോ ഉണ്ടാകുമോ?",troll meme™,20,False,None
Ugy5VfNpmF3AJltK6yV4AaABAg,"ഓരോ ആൾകാർ subscribers നെ കൂട്ടാൻ പെടാ പാട് പെടുന്നു നിനക്കാണേൽ കണ്ണടച്ച് തുറക്കുന്നതിന് മുൻപ് 200k യിൽ കൂടുതൽ subscribers ആകുകയും ചെയ്തു. അത് ഏതെങ്കിലും രീതിയിൽ ഉപയോഗപ്പെടുത്താൻ നോക്കു.",SPARTUST GAMING YT,11,False,None
Ugy7gj2MUtE5Rb9kc5R4AaABAg,"കരളു പങ്കിടാൻ വയ്യ എന്റെ പ്രണയമേ പകുതിയും കൊണ്ടുപോയി  ee channel....!!!!",മിന്നൽ HK🅥,21,False,None
UgzIStBFiBlIyHB_tNJ4AaABAg,"ഇത്രയും സബ്സ്ക്രൈബേഴ്‌സും സുപ്പോര്ട്ടും ഉണ്ടായിട്ടും നല്ല രീതിയിൽ ഈ ചാനൽ  ഉപയോഗപെടുത്താത്തത് വളരെ മോശമാണ്....",Arshad shajahan,7,False,None
UgzIStBFiBlIyHB_tNJ4AaABAg.9V5AT3v1daq9V5IG_j7Sw_,"എന്റെ അഭിപ്രായം same ആണ്",SPARTUST GAMING YT,1,False,None
UgxoZPbW_KS5qiw-rbt4AaABAg,"ആ INTRO പറച്ചിൽ ഏതാ ലെവൽ...!മച്ചാൻ പൊളി ആണേ...!!",Ꭰʀᴀɢᴏ Ꮐᴀᴍɪɴɢ 🅥,38,True,None
Ugw_gSaZLhRpuoS301V4AaABAg,"ആരും ഇന്റർവ്യൂ ചെയ്യാൻ വരാത്തത് കൊണ്ട് ആ ആഗ്രഹം സ്വന്തം ആയി നടത്തി ",Toms Babu,40,True,None
UgyQIHuPs6IdPgf4Rqd4AaABAg,"അണ്ണൻ കില്ലാടി തന്നെ...!!",Ꭰʀᴀɢᴏ Ꮐᴀᴍɪɴɢ 🅥,23,True,None
UgxTXbihffSdGalsmPB4AaABAg,"മോനെ...നീ ട്രോളുകാരുടെ ഭാഗ്യമാണ്....",തൊട്ടാവാടി 【THOTTAVAADI】,11,True,None
UgzAOvGO5Ng4gvC2TZp4AaABAg,"അടിപൊളി....!!",꧁𝓝𝓲𝓻𝓪𝓷𝓳𝓪𝓷𝓪..꧂,12,True,None
Ugz0MGt1ZnZmSQN8JTB4AaABAg,"വല്ലാത്ത വെത്യസ്തമായ ഒരുത്തൻ കിടു തന്നെ ",Gangotri musics,8,True,None
Ugz4Jg28Eu0q-CC6Pxl4AaABAg,"പൊന്നു മോനേ പൊളിച്ചു....",Toms Babu,4,True,None
UgyTqZrAhXYTeF2ZcJh4AaABAg,"ആരോമൽ ചേട്ടൻറെ ഇന്നത്തെ വീഡിയോടെ Intro കലക്കിആ കണ്ണാടി വച്ചപ്പൊ Aromal ചേട്ടൻ ആകെ പൊളിയായി MassPin Cheyyamo Aromal ചേട്ടാ",N a y i f Editz,5,True,None
UgzdYnTIErFq430d2gp4AaABAg,"ഇത് വളരെ വ്യത്യസ്തമായ ഒരു ഇൻഡർവ്യൂ ആണ് പ്രേക്ഷകരെ....!",༒തഗ് ; സുഗണൻ -ᴀᴋᴄᴛᴀ༒,9,True,None
Ugw8MQ_A5lqbnPxYNn14AaABAg,"അണ്ണൻ പൊളി   ഇനി നമ്മക്ക് തന്നെ ഇന്ട്രെവു  നടത്താം ",D M CREATION 3.o,1,False,None
UgyTqZrAhXYTeF2ZcJh4AaABAg.9UX-XfDWu0I9UXKicQfVYe,"നാളെ ചെയാം ",Aromal A,7,True,None
UgyjvWL56ykKIG8Znpp4AaABAg,"ബ്രോ വീഡിയോ പിന്നെ കാണാം  പക്ഷെ വീഡിയോ പൊളി ",Na Zar,6,True,None
UgzuQ02F0l7jKs1WmEV4AaABAg,"ഹായ് ",gaming with mastar,2,True,None
UgyajN7m0-IoBnGWBCV4AaABAg,"മച്ചാൻ ",Sijo Thomas,2,True,None
UgxzC8yGdXRStAZe6O94AaABAg,"സൂപ്പർ",Npp Tech,1,True,None
UgyJVHbTKJxR7dwxruV4AaABAg,"ഹായ് തലൈവർ ആരോമൽ  പൊളി പൊളി മച്ചാനെ ",B4 AINUUS,2,True,None
UgyjvWL56ykKIG8Znpp4AaABAg.9UWv1sTTbeF9UWvEGSHNx4,"എന്താ",Adithyan. A & Abhimanyu. A,0,False,None
UgyjvWL56ykKIG8Znpp4AaABAg.9UWv1sTTbeF9UWvJkDfMTR,"എവടെയോ എന്തോ തകരാറു പോലെ ",Aromal A,10,False,None
UgyJVHbTKJxR7dwxruV4AaABAg.9UX3hjQKCp79UXKbySKe6M,"ഹലോ ചേച്ചി ചേട്ടാ ",Aromal A,5,True,None
UgziMizI7kyrGGSL5kp4AaABAg,"എന്തിനു ഫുൾ കാണുന്നു.. വീഡിയോ പ്ലേ പോലും akilla  ബട്ട്‌ കിടു വീഡിയോ ",Na Zar,19,True,None
UgwPEDSSse8NTT0Rop14AaABAg,"ആരും വിഷമിക്കേണ്ട ആ ഫ്ലാറ്റിന്റെ പണി full കഴിഞ്ഞിട്ടില്ല ",Muhsin Sanu,3.7K,True,None
UgzCwX-S4i60Yrx376t4AaABAg,"ബ്രോ നിങ്ങളുടെ സംസാരം തന്നെയാണ് ഈ ചാനലിന്റെ ഹൈല്യറ്റ്...!",༒തഗ് ; സുഗണൻ -ᴀᴋᴄᴛᴀ༒,58,True,None
UgykEiSfDVXjChK1wbl4AaABAg,"AROMAL മുത്തേ പനി ആയത് കൊണ്ടാകാം ഇന്നൊരു energy ഇല്ലാഞ്ഞത്....പനി ഒക്കെ മാറി full power ആയി തിരിച്ചു വാ....",TiNtU_mOn_K.v,43,False,None
Ugw5SklyJcjGtSQx97B4AaABAg,"എന്തായാലും പഴയ ജിമ്മിന്റെ video കണ്ടപ്പോൾ ചിരിച്ചു മരിച്ചു...",TiNtU_mOn_K.v,94,True,None
UgyDb7P6cNl_l3V9xh94AaABAg,"മച്ചാൻ പോളിയാണ് ഇൻട്രോ വേറെ ലെവൽ ",Arshxd.___,28,True,None
UgyimyY7vLOnPdpumkh4AaABAg,"സുന്ദരേശൻ",𝘼𝙆𝙎𝙃𝘼𝙍𝘼,142,True,None
UgzjBIda0mhwP2-krBh4AaABAg,"പ്രതികരിക്കേണ്ടടുത്ത് പ്രതികരിക്കുന്നതും ഒരു ചുങ്കുറപ്പാണ് ന്റെ  commenterseee",Sooraj S,828,True,None
UgxZXlZbFlJsbSOlKkB4AaABAg,"ഉഫ് അണ്ണന്റെ ഒരു റേഞ്ചേ കില്ലാടി തന്നെ ",JoZin,210,False,None
